#score	name1	strand1	size1	zstart1	end1	name2	strand2	size2	zstart2	end2	identity	idPct	coverage	covPct
10079	s288c_chr3	+	316620	125506	125613	NODE_268_length_22264_cov_106.676605	+	22278	18763	18870	107/107	100.0%	107/22278	0.5%
7000	s288c_chr3	+	316620	166411	166488	NODE_268_length_22264_cov_106.676605	+	22278	3496	3573	76/77	98.7%	77/22278	0.3%
21378	s288c_chr3	+	316620	166486	166714	NODE_268_length_22264_cov_106.676605	+	22278	3258	3486	228/228	100.0%	228/22278	1.0%
9537	s288c_chr3	+	316620	220262	220365	NODE_268_length_22264_cov_106.676605	+	22278	3830	3933	102/103	99.0%	103/22278	0.5%
120741	s288c_chr3	+	316620	220351	221653	NODE_268_length_22264_cov_106.676605	+	22278	0	1311	1293/1301	99.4%	1311/22278	5.9%
137284	s288c_chr3	+	316620	221654	223317	NODE_268_length_22264_cov_106.676605	+	22278	1668	3248	1526/1535	99.4%	1580/22278	7.1%
9123	s288c_chr3	+	316620	221875	221971	NODE_268_length_22264_cov_106.676605	+	22278	1562	1658	96/96	100.0%	96/22278	0.4%
5203	s288c_chr3	+	316620	224311	224366	NODE_268_length_22264_cov_106.676605	+	22278	3943	3998	55/55	100.0%	55/22278	0.2%
671749	s288c_chr3	+	316620	252763	260386	NODE_268_length_22264_cov_106.676605	+	22278	9761	17651	7413/7469	99.3%	7890/22278	35.4%
552504	s288c_chr3	+	316620	101894	107928	NODE_268_length_22264_cov_106.676605	-	22278	12527	18743	5966/5976	99.8%	6216/22278	27.9%
52605	s288c_chr3	+	316620	209790	210346	NODE_268_length_22264_cov_106.676605	-	22278	3512	4068	554/556	99.6%	556/22278	2.5%
273197	s288c_chr3	+	316620	227809	231045	NODE_268_length_22264_cov_106.676605	-	22278	0	3305	3056/3088	99.0%	3305/22278	14.8%
26636	s288c_chr3	+	316620	272727	273014	NODE_268_length_22264_cov_106.676605	-	22278	4963	5250	285/287	99.3%	287/22278	1.3%
32510	s288c_chr3	+	316620	90807	91151	NODE_270_length_330_cov_197.196976	-	344	0	344	344/344	100.0%	344/344	100.0%
15320	s288c_chr3	+	316620	1173	1429	NODE_274_length_22386_cov_109.064148	+	22400	19118	19369	210/241	87.1%	251/22400	1.1%
15674	s288c_chr3	+	316620	4072	4590	NODE_274_length_22386_cov_109.064148	+	22400	19123	19742	373/491	76.0%	619/22400	2.8%
16651	s288c_chr3	+	316620	82696	83060	NODE_274_length_22386_cov_109.064148	+	22400	18603	18967	274/355	77.2%	364/22400	1.6%
11243	s288c_chr3	+	316620	84289	84753	NODE_274_length_22386_cov_109.064148	+	22400	18601	18955	257/344	74.7%	354/22400	1.6%
13063	s288c_chr3	+	316620	84809	85143	NODE_274_length_22386_cov_109.064148	+	22400	18605	18941	241/325	74.2%	336/22400	1.5%
13131	s288c_chr3	+	316620	90440	90769	NODE_274_length_22386_cov_109.064148	+	22400	18609	18940	239/320	74.7%	331/22400	1.5%
14425	s288c_chr3	+	316620	149501	149809	NODE_274_length_22386_cov_109.064148	+	22400	18624	18940	236/305	77.4%	316/22400	1.4%
15061	s288c_chr3	+	316620	151523	151856	NODE_274_length_22386_cov_109.064148	+	22400	18609	18945	248/329	75.4%	336/22400	1.5%
15473	s288c_chr3	+	316620	169180	169544	NODE_274_length_22386_cov_109.064148	+	22400	18572	18940	270/354	76.3%	368/22400	1.6%
13971	s288c_chr3	+	316620	169532	169894	NODE_274_length_22386_cov_109.064148	+	22400	18561	18946	261/357	73.1%	385/22400	1.7%
384323	s288c_chr3	+	316620	273034	277340	NODE_274_length_22386_cov_109.064148	+	22400	0	4317	4185/4223	99.1%	4317/22400	19.3%
1379352	s288c_chr3	+	316620	277341	292562	NODE_274_length_22386_cov_109.064148	+	22400	4670	19764	14906/14959	99.6%	15094/22400	67.4%
8214	s288c_chr3	+	316620	277573	277660	NODE_274_length_22386_cov_109.064148	+	22400	4573	4660	87/87	100.0%	87/22400	0.4%
13064	s288c_chr3	+	316620	295005	295331	NODE_274_length_22386_cov_109.064148	+	22400	18609	18941	235/323	72.8%	332/22400	1.5%
14025	s288c_chr3	+	316620	307533	308151	NODE_274_length_22386_cov_109.064148	+	22400	16994	17546	369/531	69.5%	552/22400	2.5%
7745	s288c_chr3	+	316620	83046	83196	NODE_274_length_22386_cov_109.064148	-	22400	3452	3600	116/148	78.4%	148/22400	0.7%
93271	s288c_chr3	+	316620	107907	108892	NODE_274_length_22386_cov_109.064148	-	22400	0	985	985/985	100.0%	985/22400	4.4%
13581	s288c_chr3	+	316620	108898	109042	NODE_274_length_22386_cov_109.064148	-	22400	2482	2626	144/144	100.0%	144/22400	0.6%
124355	s288c_chr3	+	316620	109044	110360	NODE_274_length_22386_cov_109.064148	-	22400	1156	2472	1316/1316	100.0%	1316/22400	5.9%
15529	s288c_chr3	+	316620	124133	124462	NODE_274_length_22386_cov_109.064148	-	22400	3460	3791	247/325	76.0%	331/22400	1.5%
11705	s288c_chr3	+	316620	142796	143077	NODE_274_length_22386_cov_109.064148	-	22400	3508	3791	201/277	72.6%	283/22400	1.3%
16426	s288c_chr3	+	316620	168582	168938	NODE_274_length_22386_cov_109.064148	-	22400	3443	3799	266/347	76.7%	356/22400	1.6%
21740	s288c_chr3	+	316620	268618	268857	NODE_282_length_225_cov_206.160004	+	239	0	239	233/239	97.5%	239/239	100.0%
21740	s288c_chr3	+	316620	268945	269184	NODE_282_length_225_cov_206.160004	+	239	0	239	233/239	97.5%	239/239	100.0%
10045	s288c_chr3	+	316620	82699	82938	NODE_305_length_8767_cov_110.174294	+	8781	7189	7422	170/229	74.2%	233/8781	2.7%
5914	s288c_chr3	+	316620	83054	83160	NODE_305_length_8767_cov_110.174294	+	8781	8049	8153	87/104	83.7%	104/8781	1.2%
9578	s288c_chr3	+	316620	83054	83201	NODE_305_length_8767_cov_110.174294	+	8781	8153	8299	123/146	84.2%	146/8781	1.7%
8213	s288c_chr3	+	316620	84064	84293	NODE_305_length_8767_cov_110.174294	+	8781	7185	7411	155/217	71.4%	226/8781	2.6%
8482	s288c_chr3	+	316620	84294	84527	NODE_305_length_8767_cov_110.174294	+	8781	7189	7419	158/221	71.5%	230/8781	2.6%
8673	s288c_chr3	+	316620	84808	85043	NODE_305_length_8767_cov_110.174294	+	8781	7187	7419	160/223	71.7%	232/8781	2.6%
8613	s288c_chr3	+	316620	90437	90670	NODE_305_length_8767_cov_110.174294	+	8781	7189	7419	159/221	71.9%	230/8781	2.6%
5925	s288c_chr3	+	316620	124133	124238	NODE_305_length_8767_cov_110.174294	+	8781	8049	8153	85/104	81.7%	104/8781	1.2%
20698	s288c_chr3	+	316620	124133	124439	NODE_305_length_8767_cov_110.174294	+	8781	8153	8456	263/302	87.1%	303/8781	3.5%
3739	s288c_chr3	+	316620	124147	124226	NODE_305_length_8767_cov_110.174294	+	8781	7450	7529	57/79	72.2%	79/8781	0.9%
16661	s288c_chr3	+	316620	142791	143054	NODE_305_length_8767_cov_110.174294	+	8781	8196	8456	220/259	84.9%	260/8781	3.0%
3621	s288c_chr3	+	316620	142796	142853	NODE_305_length_8767_cov_110.174294	+	8781	8096	8153	46/57	80.7%	57/8781	0.6%
8884	s288c_chr3	+	316620	149499	149712	NODE_305_length_8767_cov_110.174294	+	8781	7205	7422	159/209	76.1%	217/8781	2.5%
15883	s288c_chr3	+	316620	168595	168907	NODE_305_length_8767_cov_110.174294	+	8781	8149	8456	242/305	79.3%	307/8781	3.5%
6129	s288c_chr3	+	316620	168598	168704	NODE_305_length_8767_cov_110.174294	+	8781	8048	8153	87/105	82.9%	105/8781	1.2%
3739	s288c_chr3	+	316620	168613	168692	NODE_305_length_8767_cov_110.174294	+	8781	7450	7529	57/79	72.2%	79/8781	0.9%
8657	s288c_chr3	+	316620	169572	169798	NODE_305_length_8767_cov_110.174294	+	8781	7189	7422	165/218	75.7%	233/8781	2.7%
19618	s288c_chr3	+	316620	82725	83036	NODE_305_length_8767_cov_110.174294	-	8781	325	628	259/302	85.8%	303/8781	3.5%
6257	s288c_chr3	+	316620	82931	83055	NODE_305_length_8767_cov_110.174294	-	8781	628	746	97/118	82.2%	118/8781	1.3%
3739	s288c_chr3	+	316620	82943	83022	NODE_305_length_8767_cov_110.174294	-	8781	1252	1331	57/79	72.2%	79/8781	0.9%
7581	s288c_chr3	+	316620	84094	84739	NODE_305_length_8767_cov_110.174294	-	8781	325	732	300/404	74.3%	407/8781	4.6%
10887	s288c_chr3	+	316620	84320	84739	NODE_305_length_8767_cov_110.174294	-	8781	325	628	233/301	77.4%	303/8781	3.5%
13062	s288c_chr3	+	316620	84836	85142	NODE_305_length_8767_cov_110.174294	-	8781	325	628	229/299	76.6%	303/8781	3.5%
13156	s288c_chr3	+	316620	90463	90769	NODE_305_length_8767_cov_110.174294	-	8781	325	628	229/299	76.6%	303/8781	3.5%
14446	s288c_chr3	+	316620	149515	149825	NODE_305_length_8767_cov_110.174294	-	8781	332	644	231/309	74.8%	312/8781	3.6%
5013	s288c_chr3	+	316620	149705	149800	NODE_305_length_8767_cov_110.174294	-	8781	628	723	77/94	81.9%	95/8781	1.1%
20084	s288c_chr3	+	316620	151546	151851	NODE_305_length_8767_cov_110.174294	-	8781	325	628	263/301	87.4%	303/8781	3.5%
5760	s288c_chr3	+	316620	151746	151841	NODE_305_length_8767_cov_110.174294	-	8781	628	722	78/94	83.0%	94/8781	1.1%
8829	s288c_chr3	+	316620	168700	168950	NODE_305_length_8767_cov_110.174294	-	8781	1362	1609	171/243	70.4%	247/8781	2.8%
20347	s288c_chr3	+	316620	169232	169553	NODE_305_length_8767_cov_110.174294	-	8781	325	640	273/311	87.8%	315/8781	3.6%
5776	s288c_chr3	+	316620	169439	169544	NODE_305_length_8767_cov_110.174294	-	8781	628	732	84/104	80.8%	104/8781	1.2%
11326	s288c_chr3	+	316620	169608	169891	NODE_305_length_8767_cov_110.174294	-	8781	333	631	208/280	74.3%	298/8781	3.4%
12716	s288c_chr3	+	316620	291398	291733	NODE_305_length_8767_cov_110.174294	-	8781	325	649	229/321	71.3%	324/8781	3.7%
781409	s288c_chr3	+	316620	294703	303416	NODE_305_length_8767_cov_110.174294	-	8781	0	8781	8509/8564	99.4%	8781/8781	100.0%
34077	s288c_chr3	+	316620	92372	92735	NODE_317_length_351_cov_209.370377	+	365	2	365	363/363	100.0%	363/365	99.5%
24823	s288c_chr3	+	316620	91567	91829	NODE_321_length_248_cov_259.556458	-	262	0	262	262/262	100.0%	262/262	100.0%
187588	s288c_chr3	+	316620	42454	44551	NODE_373_length_2111_cov_105.243958	-	2125	0	2125	2044/2045	100.0%	2125/2125	100.0%
106094	s288c_chr3	+	316620	13842	15299	NODE_396_length_4230_cov_114.454376	-	4244	0	1519	1278/1278	100.0%	1519/4244	35.8%
32229	s288c_chr3	+	316620	201002	201344	NODE_396_length_4230_cov_114.454376	-	4244	0	342	342/342	100.0%	342/4244	8.1%
255867	s288c_chr3	+	316620	201394	204109	NODE_396_length_4230_cov_114.454376	-	4244	1529	4244	2715/2715	100.0%	2715/4244	64.0%
8723	s288c_chr3	+	316620	294530	294651	NODE_396_length_4230_cov_114.454376	-	4244	0	124	108/121	89.3%	124/4244	2.9%
604389	s288c_chr3	+	316620	50336	57015	NODE_417_length_6795_cov_107.744667	-	6809	0	6809	6546/6548	100.0%	6809/6809	100.0%
741408	s288c_chr3	+	316620	130909	139043	NODE_424_length_21118_cov_111.169426	+	21132	1	8014	7951/7963	99.8%	8013/21132	37.9%
311886	s288c_chr3	+	316620	139201	142648	NODE_424_length_21118_cov_111.169426	+	21132	8205	11573	3357/3358	100.0%	3368/21132	15.9%
6723	s288c_chr3	+	316620	142490	142562	NODE_424_length_21118_cov_111.169426	+	21132	11937	12009	72/72	100.0%	72/21132	0.3%
86025	s288c_chr3	+	316620	177639	178579	NODE_424_length_21118_cov_111.169426	+	21132	11583	12600	940/940	100.0%	1017/21132	4.8%
64964	s288c_chr3	+	316620	57296	57982	NODE_424_length_21118_cov_111.169426	-	21132	0	686	686/686	100.0%	686/21132	3.2%
686024	s288c_chr3	+	316620	68551	76087	NODE_424_length_21118_cov_111.169426	-	21132	696	8522	7451/7487	99.5%	7826/21132	37.0%
5426	s288c_chr3	+	316620	70578	71072	NODE_424_length_21118_cov_111.169426	-	21132	3038	3716	316/452	69.9%	678/21132	3.2%
7260	s288c_chr3	+	316620	70598	71304	NODE_424_length_21118_cov_111.169426	-	21132	3018	3693	397/609	65.2%	675/21132	3.2%
6381	s288c_chr3	+	316620	70605	71251	NODE_424_length_21118_cov_111.169426	-	21132	3051	3727	377/585	64.4%	676/21132	3.2%
17766	s288c_chr3	+	316620	73424	73998	NODE_424_length_21118_cov_111.169426	-	21132	7140	7714	358/574	62.4%	574/21132	2.7%
17766	s288c_chr3	+	316620	74723	75297	NODE_424_length_21118_cov_111.169426	-	21132	5841	6415	358/574	62.4%	574/21132	2.7%
36044	s288c_chr3	+	316620	292642	293031	NODE_424_length_21118_cov_111.169426	-	21132	915	1304	387/389	99.5%	389/21132	1.8%
175340	s288c_chr3	+	316620	143066	144948	NODE_433_length_1886_cov_105.172852	+	1900	0	1900	1879/1880	99.9%	1900/1900	100.0%
20210	s288c_chr3	+	316620	11853	12068	NODE_454_length_201_cov_309.164185	-	215	0	215	213/215	99.1%	215/215	100.0%
20210	s288c_chr3	+	316620	199015	199230	NODE_454_length_201_cov_309.164185	-	215	0	215	213/215	99.1%	215/215	100.0%
149030	s288c_chr3	+	316620	204095	205684	NODE_461_length_1584_cov_120.475380	+	1598	0	1598	1588/1588	100.0%	1598/1598	100.0%
1983016	s288c_chr3	+	316620	231025	252721	NODE_463_length_21903_cov_113.815918	-	21917	0	21917	21350/21421	99.7%	21917/21917	100.0%
318436	s288c_chr3	+	316620	206142	209515	NODE_468_length_3370_cov_116.225517	-	3384	2	3384	3370/3372	99.9%	3382/3384	99.9%
23851	s288c_chr3	+	316620	274634	274888	NODE_482_length_269_cov_145.691452	+	283	0	254	252/254	99.2%	254/283	89.8%
3947	s288c_chr3	+	316620	106256	106297	NODE_482_length_269_cov_145.691452	-	283	0	41	41/41	100.0%	41/283	14.5%
617798	s288c_chr3	+	316620	76087	82625	NODE_500_length_6523_cov_111.646332	-	6537	0	6537	6534/6537	100.0%	6537/6537	100.0%
275424	s288c_chr3	+	316620	145688	148622	NODE_516_length_2934_cov_123.256645	+	2948	0	2943	2929/2933	99.9%	2943/2948	99.8%
84977	s288c_chr3	+	316620	83182	84081	NODE_559_length_885_cov_116.586441	-	899	0	899	899/899	100.0%	899/899	100.0%
20011	s288c_chr3	+	316620	91911	92122	NODE_586_length_197_cov_276.451782	-	211	0	211	211/211	100.0%	211/211	100.0%
42739	s288c_chr3	+	316620	293909	294369	NODE_593_length_446_cov_164.284760	+	460	0	460	458/460	99.6%	460/460	100.0%
39279	s288c_chr3	+	316620	42051	42468	NODE_618_length_8824_cov_118.808929	+	8838	0	417	417/417	100.0%	417/8838	4.7%
787999	s288c_chr3	+	316620	93362	101838	NODE_618_length_8824_cov_118.808929	-	8838	0	8411	8388/8391	100.0%	8411/8838	95.2%
596344	s288c_chr3	+	316620	30796	37223	NODE_640_length_33313_cov_109.019989	+	33327	8098	14531	6371/6402	99.5%	6433/33327	19.3%
442047	s288c_chr3	+	316620	37260	41974	NODE_640_length_33313_cov_109.019989	+	33327	15090	19816	4706/4706	100.0%	4726/33327	14.2%
25325	s288c_chr3	+	316620	44571	44840	NODE_640_length_33313_cov_109.019989	+	33327	22994	23263	269/269	100.0%	269/33327	0.8%
499992	s288c_chr3	+	316620	44841	50331	NODE_640_length_33313_cov_109.019989	+	33327	23681	29116	5364/5368	99.9%	5435/33327	16.3%
4446	s288c_chr3	+	316620	83097	83171	NODE_640_length_33313_cov_109.019989	+	33327	22911	22984	60/73	82.2%	73/33327	0.2%
4468	s288c_chr3	+	316620	124176	124249	NODE_640_length_33313_cov_109.019989	+	33327	22911	22984	58/73	79.5%	73/33327	0.2%
84117	s288c_chr3	+	316620	124466	125360	NODE_640_length_33313_cov_109.019989	+	33327	7194	8088	894/894	100.0%	894/33327	2.7%
192255	s288c_chr3	+	316620	125615	127735	NODE_640_length_33313_cov_109.019989	+	33327	4760	6839	2069/2069	100.0%	2079/33327	6.2%
215730	s288c_chr3	+	316620	127735	130510	NODE_640_length_33313_cov_109.019989	+	33327	19826	22816	2550/2570	99.2%	2990/33327	9.0%
37433	s288c_chr3	+	316620	130538	130936	NODE_640_length_33313_cov_109.019989	+	33327	23273	23671	398/398	100.0%	398/33327	1.2%
17155	s288c_chr3	+	316620	142669	142864	NODE_640_length_33313_cov_109.019989	+	33327	22796	22984	188/188	100.0%	188/33327	0.6%
386292	s288c_chr3	+	316620	162190	166411	NODE_640_length_33313_cov_109.019989	+	33327	29126	33327	4159/4166	99.8%	4201/33327	12.6%
4572	s288c_chr3	+	316620	168642	168715	NODE_640_length_33313_cov_109.019989	+	33327	22911	22984	59/73	80.8%	73/33327	0.2%
28675	s288c_chr3	+	316620	205755	206062	NODE_640_length_33313_cov_109.019989	+	33327	14773	15080	307/307	100.0%	307/33327	0.9%
21813	s288c_chr3	+	316620	209515	209746	NODE_640_length_33313_cov_109.019989	+	33327	4519	4750	231/231	100.0%	231/33327	0.7%
30419	s288c_chr3	+	316620	219889	220224	NODE_640_length_33313_cov_109.019989	+	33327	6849	7184	328/335	97.9%	335/33327	1.0%
385635	s288c_chr3	+	316620	223387	227822	NODE_640_length_33313_cov_109.019989	+	33327	0	4509	4240/4292	98.8%	4509/33327	13.5%
20791	s288c_chr3	+	316620	27421	27643	NODE_640_length_33313_cov_109.019989	-	33327	18564	18786	221/222	99.5%	222/33327	0.7%
5131	s288c_chr3	+	316620	82920	82993	NODE_640_length_33313_cov_109.019989	-	33327	10343	10416	62/73	84.9%	73/33327	0.2%
3803	s288c_chr3	+	316620	84629	84696	NODE_640_length_33313_cov_109.019989	-	33327	10349	10416	52/67	77.6%	67/33327	0.2%
8164	s288c_chr3	+	316620	101127	101216	NODE_640_length_33313_cov_109.019989	-	33327	10689	10778	88/89	98.9%	89/33327	0.3%
5288	s288c_chr3	+	316620	149694	149767	NODE_640_length_33313_cov_109.019989	-	33327	10343	10416	62/73	84.9%	73/33327	0.2%
5428	s288c_chr3	+	316620	151735	151808	NODE_640_length_33313_cov_109.019989	-	33327	10343	10416	63/73	86.3%	73/33327	0.2%
10448	s288c_chr3	+	316620	158466	158598	NODE_640_length_33313_cov_109.019989	-	33327	10738	10876	124/132	93.9%	138/33327	0.4%
5131	s288c_chr3	+	316620	169428	169501	NODE_640_length_33313_cov_109.019989	-	33327	10343	10416	62/73	84.9%	73/33327	0.2%
5145	s288c_chr3	+	316620	295215	295286	NODE_640_length_33313_cov_109.019989	-	33327	10343	10414	61/71	85.9%	71/33327	0.2%
72759	s288c_chr3	+	316620	144934	145702	NODE_644_length_754_cov_146.782486	-	768	0	768	768/768	100.0%	768/768	100.0%
4681	s288c_chr3	+	316620	139972	140023	NODE_650_length_13795_cov_106.370789	+	13809	13758	13809	50/51	98.0%	51/13809	0.4%
1263804	s288c_chr3	+	316620	110360	124147	NODE_650_length_13795_cov_106.370789	-	13809	34	13809	13580/13586	100.0%	13775/13809	99.8%
88595	s288c_chr3	+	316620	271795	272741	NODE_711_length_932_cov_143.919525	-	946	0	946	941/946	99.5%	946/946	100.0%
17019	s288c_chr3	+	316620	152835	153015	NODE_745_length_198_cov_120.914139	-	212	32	212	180/180	100.0%	180/212	84.9%
4367	s288c_chr3	+	316620	229276	229323	NODE_745_length_198_cov_120.914139	-	212	0	47	47/47	100.0%	47/212	22.2%
996687	s288c_chr3	+	316620	15313	26232	NODE_762_length_22132_cov_112.935074	+	22146	0	10853	10710/10755	99.6%	10853/22146	49.0%
107919	s288c_chr3	+	316620	26234	27391	NODE_762_length_22132_cov_112.935074	+	22146	14449	15606	1150/1157	99.4%	1157/22146	5.2%
586067	s288c_chr3	+	316620	151832	158443	NODE_762_length_22132_cov_112.935074	-	22146	0	6530	6380/6386	99.9%	6530/22146	29.5%
337413	s288c_chr3	+	316620	158598	162174	NODE_762_length_22132_cov_112.935074	-	22146	7707	11283	3576/3576	100.0%	3576/22146	16.1%
160490	s288c_chr3	+	316620	166701	168404	NODE_779_length_1689_cov_103.673180	-	1703	0	1703	1703/1703	100.0%	1703/1703	100.0%
10119	s288c_chr3	+	316620	83054	83223	NODE_802_length_8252_cov_109.528717	+	8266	7927	8107	141/168	83.9%	180/8266	2.2%
20081	s288c_chr3	+	316620	124133	124466	NODE_802_length_8252_cov_109.528717	+	8266	7927	8266	278/331	84.0%	339/8266	4.1%
15305	s288c_chr3	+	316620	142791	143080	NODE_802_length_8252_cov_109.528717	+	8266	7970	8265	229/287	79.8%	295/8266	3.6%
3805	s288c_chr3	+	316620	151466	151520	NODE_802_length_8252_cov_109.528717	+	8266	7948	8003	49/54	90.7%	55/8266	0.7%
20046	s288c_chr3	+	316620	168599	168933	NODE_802_length_8252_cov_109.528717	+	8266	7927	8265	279/333	83.8%	338/8266	4.1%
8918	s288c_chr3	+	316620	295957	296190	NODE_802_length_8252_cov_109.528717	+	8266	8025	8265	171/228	75.0%	240/8266	2.9%
24079	s288c_chr3	+	316620	82699	83052	NODE_802_length_8252_cov_109.528717	-	8266	1	351	305/348	87.6%	350/8266	4.2%
11282	s288c_chr3	+	316620	84068	84294	NODE_802_length_8252_cov_109.528717	-	8266	1	231	178/225	79.1%	230/8266	2.8%
14845	s288c_chr3	+	316620	84293	84739	NODE_802_length_8252_cov_109.528717	-	8266	0	339	269/334	80.5%	339/8266	4.1%
17044	s288c_chr3	+	316620	84810	85142	NODE_802_length_8252_cov_109.528717	-	8266	1	339	265/331	80.1%	338/8266	4.1%
17249	s288c_chr3	+	316620	90437	90769	NODE_802_length_8252_cov_109.528717	-	8266	1	339	266/331	80.4%	338/8266	4.1%
19373	s288c_chr3	+	316620	149481	149818	NODE_802_length_8252_cov_109.528717	-	8266	1	348	283/336	84.2%	347/8266	4.2%
19536	s288c_chr3	+	316620	151520	151851	NODE_802_length_8252_cov_109.528717	-	8266	1	339	276/329	83.9%	338/8266	4.1%
25877	s288c_chr3	+	316620	169206	169571	NODE_802_length_8252_cov_109.528717	-	8266	1	366	322/363	88.7%	365/8266	4.4%
733068	s288c_chr3	+	316620	169571	177639	NODE_802_length_8252_cov_109.528717	-	8266	0	8266	7953/7966	99.8%	8266/8266	100.0%
6459	s288c_chr3	+	316620	173457	173526	NODE_802_length_8252_cov_109.528717	-	8266	4333	4402	69/69	100.0%	69/8266	0.8%
16821	s288c_chr3	+	316620	291375	291712	NODE_802_length_8252_cov_109.528717	-	8266	4	339	257/325	79.1%	335/8266	4.1%
16236	s288c_chr3	+	316620	295002	295330	NODE_802_length_8252_cov_109.528717	-	8266	1	339	256/327	78.3%	338/8266	4.1%
24494	s288c_chr3	+	316620	218500	218762	NODE_804_length_249_cov_111.461845	-	263	1	263	261/262	99.6%	262/263	99.6%
743253	s288c_chr3	+	316620	210349	218499	NODE_848_length_9381_cov_107.293571	-	9395	0	8069	7959/8007	99.4%	8069/9395	85.9%
100474	s288c_chr3	+	316620	218748	219889	NODE_848_length_9381_cov_107.293571	-	9395	8279	9395	1095/1106	99.0%	1116/9395	11.9%
101611	s288c_chr3	+	316620	270047	271131	NODE_884_length_1070_cov_137.055145	-	1084	0	1084	1077/1084	99.4%	1084/1084	100.0%
